neighbourhood,price,room_type,iqr_lower_bound,iqr_median_price,iqr_upper_bound
Pom Prap Sattru Phai,745,Hotel room,330.0,745.0,1808.5
Pom Prap Sattru Phai,745,Hotel room,330.0,745.0,1808.5
Pom Prap Sattru Phai,1625,Hotel room,330.0,745.0,1808.5
Pom Prap Sattru Phai,1238,Hotel room,330.0,745.0,1808.5
Vadhana,1500,Entire home/apt,350.0,1800.0,4300.0
Suanluang,2950,Entire home/apt,350.0,1000.0,2558.25
Bang Rak,5571,Entire home/apt,598.0,1874.0,6097.5
Sathon,500,Private room,353.0,1199.0,2602.5
Sathon,900,Shared room,318.0,490.0,1305.0
Sathon,600,Private room,353.0,1199.0,2602.5
Chatu Chak,1108,Private room,315.0,1100.0,2775.0
Vadhana,4269,Entire home/apt,350.0,1800.0,4300.0
Bang Khen,899,Private room,400.0,827.0,2550.0
Huai Khwang,1350,Entire home/apt,443.0,1300.0,3000.0
Pom Prap Sattru Phai,757,Hotel room,330.0,745.0,1808.5
Chom Thong,400,Private room,400.0,980.0,2244.75
Khlong Toei,1200,Entire home/apt,332.0,1600.0,3447.5
Bang Na,4500,Private room,330.0,1037.0,2550.0
Pom Prap Sattru Phai,643,Hotel room,330.0,745.0,1808.5
Vadhana,1700,Private room,350.0,1500.0,4015.0
Huai Khwang,1349,Entire home/apt,443.0,1300.0,3000.0
Bang Na,350,Private room,330.0,1037.0,2550.0
Chatu Chak,3500,Private room,315.0,1100.0,2775.0
Khlong Toei,3120,Entire home/apt,332.0,1600.0,3447.5
Khlong Toei,3120,Entire home/apt,332.0,1600.0,3447.5
Khlong Toei,3380,Entire home/apt,332.0,1600.0,3447.5
Khlong Toei,2860,Entire home/apt,332.0,1600.0,3447.5
Vadhana,3000,Entire home/apt,350.0,1800.0,4300.0
Sathon,2500,Hotel room,330.0,1862.0,5237.5
Khlong Toei,667,Entire home/apt,332.0,1600.0,3447.5
Bang Rak,700,Private room,360.0,1500.0,4286.0
Vadhana,3866,Entire home/apt,350.0,1800.0,4300.0
Suanluang,4500,Private room,354.0,950.0,2169.0
Bang Phlat,1351,Private room,346.0,817.5,1850.0
Lat Krabang,1200,Private room,346.0,849.0,2206.25
Vadhana,5000,Private room,350.0,1500.0,4015.0
Ratchathewi,2100,Private room,420.0,1378.0,3204.625
Khlong San,1298,Hotel room,683.0,1899.0,5758.125
Vadhana,1504,Entire home/apt,350.0,1800.0,4300.0
Khlong Sam Wa,2900,Private room,350.0,922.0,4862.5
Khlong San,1698,Hotel room,683.0,1899.0,5758.125
Huai Khwang,680,Private room,350.0,1108.0,3605.0
Huai Khwang,890,Private room,350.0,1108.0,3605.0
Parthum Wan,4571,Entire home/apt,510.0,2000.0,5325.75
Bangkok Noi,600,Private room,300.0,900.0,2301.375
Vadhana,1150,Private room,350.0,1500.0,4015.0
Din Daeng,750,Private room,363.0,950.0,2700.0
Vadhana,5900,Entire home/apt,350.0,1800.0,4300.0
Khlong San,789,Hotel room,683.0,1899.0,5758.125
Khlong Toei,1300,Entire home/apt,332.0,1600.0,3447.5
Suanluang,6600,Private room,354.0,950.0,2169.0
Bang Kho laen,1421,Entire home/apt,499.0,1039.0,3215.0
Chatu Chak,900,Private room,315.0,1100.0,2775.0
Sathon,1999,Entire home/apt,350.0,1350.0,3257.5
Bang Sue,800,Private room,346.0,1000.0,2311.25
Vadhana,1800,Entire home/apt,350.0,1800.0,4300.0
Khlong Toei,1700,Entire home/apt,332.0,1600.0,3447.5
Khlong Toei,1300,Entire home/apt,332.0,1600.0,3447.5
Khlong Toei,1999,Entire home/apt,332.0,1600.0,3447.5
Huai Khwang,1850,Private room,350.0,1108.0,3605.0
Khlong San,1400,Hotel room,683.0,1899.0,5758.125
Khlong San,1029,Hotel room,683.0,1899.0,5758.125
Khlong San,1029,Hotel room,683.0,1899.0,5758.125
Huai Khwang,2144,Entire home/apt,443.0,1300.0,3000.0
Khlong Toei,800,Entire home/apt,332.0,1600.0,3447.5
Phra Nakhon,3013,Private room,392.0,1250.0,3198.0
Khlong Toei,3050,Private room,360.0,1275.0,3650.0
Bang Sue,650,Private room,346.0,1000.0,2311.25
Bangkok Noi,625,Hotel room,990.625,1800.0,2365.625
Bang Rak,1150,Private room,360.0,1500.0,4286.0
Khlong Toei,1300,Entire home/apt,332.0,1600.0,3447.5
Vadhana,1199,Entire home/apt,350.0,1800.0,4300.0
Huai Khwang,1850,Private room,350.0,1108.0,3605.0
Vadhana,3500,Entire home/apt,350.0,1800.0,4300.0
Huai Khwang,2650,Private room,350.0,1108.0,3605.0
Pom Prap Sattru Phai,2100,Entire home/apt,800.0,1043.0,4076.5
Bangkok Noi,950,Private room,300.0,900.0,2301.375
Bang Na,1400,Entire home/apt,350.0,950.0,2189.75
Bang Rak,935,Entire home/apt,598.0,1874.0,6097.5
Parthum Wan,3743,Entire home/apt,510.0,2000.0,5325.75
Phasi Charoen,2190,Entire home/apt,346.0,1000.0,2279.0
Huai Khwang,600,Private room,350.0,1108.0,3605.0
Khlong Toei,1800,Entire home/apt,332.0,1600.0,3447.5
Chatu Chak,4071,Private room,315.0,1100.0,2775.0
Huai Khwang,798,Private room,350.0,1108.0,3605.0
Din Daeng,2770,Entire home/apt,363.0,1269.0,3201.0
Suanluang,550,Private room,354.0,950.0,2169.0
Bang Khae,571,Entire home/apt,350.0,870.0,8280.0
Huai Khwang,690,Private room,350.0,1108.0,3605.0
Chatu Chak,2000,Private room,315.0,1100.0,2775.0
Huai Khwang,650,Private room,350.0,1108.0,3605.0
Bang Sue,741,Entire home/apt,386.0,840.0,1721.75
Din Daeng,899,Private room,363.0,950.0,2700.0
Chatu Chak,1490,Private room,315.0,1100.0,2775.0
Khlong Toei,1990,Entire home/apt,332.0,1600.0,3447.5
Din Daeng,1500,Private room,363.0,950.0,2700.0
Bang Na,2400,Entire home/apt,350.0,950.0,2189.75
Bang Sue,1457,Entire home/apt,386.0,840.0,1721.75
Bang Phlat,1732,Entire home/apt,400.0,884.0,2913.25
Phra Khanong,1316,Private room,350.0,1000.0,2845.0
Parthum Wan,2000,Private room,350.0,1800.0,4408.25
Pra Wet,2000,Private room,334.0,899.5,2756.25
Khlong Toei,2700,Private room,360.0,1275.0,3650.0
Bang Na,1000,Entire home/apt,350.0,950.0,2189.75
Lak Si,695,Private room,350.0,800.0,1737.5
Phra Khanong,337,Entire home/apt,337.0,999.0,2585.0
Bang Sue,900,Entire home/apt,386.0,840.0,1721.75
Khlong Toei,2057,Private room,360.0,1275.0,3650.0
Bang Na,788,Entire home/apt,350.0,950.0,2189.75
Bang Sue,850,Entire home/apt,386.0,840.0,1721.75
Vadhana,2500,Entire home/apt,350.0,1800.0,4300.0
Parthum Wan,4843,Entire home/apt,510.0,2000.0,5325.75
Vadhana,1732,Entire home/apt,350.0,1800.0,4300.0
Phasi Charoen,1500,Private room,278.0,839.0,1993.125
Suanluang,700,Private room,354.0,950.0,2169.0
Parthum Wan,3286,Entire home/apt,510.0,2000.0,5325.75
Bang Na,1399,Entire home/apt,350.0,950.0,2189.75
Suanluang,970,Private room,354.0,950.0,2169.0
Vadhana,6771,Entire home/apt,350.0,1800.0,4300.0
Parthum Wan,4843,Entire home/apt,510.0,2000.0,5325.75
Khlong Toei,2014,Private room,360.0,1275.0,3650.0
Vadhana,986,Hotel room,365.0,1600.0,5273.375
Vadhana,1100,Entire home/apt,350.0,1800.0,4300.0
Sathon,4918,Entire home/apt,350.0,1350.0,3257.5
Vadhana,1900,Entire home/apt,350.0,1800.0,4300.0
Parthum Wan,3500,Entire home/apt,510.0,2000.0,5325.75
Rat Burana,700,Private room,350.0,775.0,2425.125
Parthum Wan,7314,Entire home/apt,510.0,2000.0,5325.75
Bang Sue,720,Entire home/apt,386.0,840.0,1721.75
Bang Sue,720,Entire home/apt,386.0,840.0,1721.75
Chom Thong,690,Entire home/apt,380.0,1290.0,3005.75
Vadhana,2000,Entire home/apt,350.0,1800.0,4300.0
Phra Khanong,350,Private room,350.0,1000.0,2845.0
Vadhana,1009,Entire home/apt,350.0,1800.0,4300.0
Vadhana,1187,Entire home/apt,350.0,1800.0,4300.0
Suanluang,1032,Entire home/apt,350.0,1000.0,2558.25
Khlong San,4500,Entire home/apt,450.0,1305.0,2978.875
Vadhana,5420,Private room,350.0,1500.0,4015.0
Ratchathewi,650,Entire home/apt,500.0,1608.0,4112.5
Ratchathewi,1500,Entire home/apt,500.0,1608.0,4112.5
Vadhana,450,Shared room,350.0,565.0,1575.0
Khlong San,900,Private room,350.0,1156.5,3300.0
Parthum Wan,3286,Entire home/apt,510.0,2000.0,5325.75
Pra Wet,350,Private room,334.0,899.5,2756.25
Chom Thong,690,Entire home/apt,380.0,1290.0,3005.75
Suanluang,332,Shared room,280.0,375.0,724.5
Suanluang,650,Private room,354.0,950.0,2169.0
Phaya Thai,6300,Entire home/apt,374.0,1471.5,3298.625
Phaya Thai,1500,Shared room,360.0,650.0,1025.0
Phaya Thai,1300,Private room,399.0,1285.5,3459.125
Phaya Thai,850,Private room,399.0,1285.5,3459.125
Bang Na,497,Entire home/apt,350.0,950.0,2189.75
Bang Na,630,Entire home/apt,350.0,950.0,2189.75
Vadhana,1620,Entire home/apt,350.0,1800.0,4300.0
Khlong San,1703,Entire home/apt,450.0,1305.0,2978.875
Khlong San,1400,Entire home/apt,450.0,1305.0,2978.875
Khlong San,1499,Entire home/apt,450.0,1305.0,2978.875
Khlong San,1337,Entire home/apt,450.0,1305.0,2978.875
Ratchathewi,990,Entire home/apt,500.0,1608.0,4112.5
Parthum Wan,3644,Entire home/apt,510.0,2000.0,5325.75
Bang Rak,729,Private room,360.0,1500.0,4286.0
Bang Na,800,Private room,330.0,1037.0,2550.0
Chatu Chak,2890,Entire home/apt,350.0,1039.0,2856.25
Vadhana,1200,Entire home/apt,350.0,1800.0,4300.0
Lat Krabang,6000,Entire home/apt,650.0,1219.0,3470.25
Phasi Charoen,1000,Entire home/apt,346.0,1000.0,2279.0
Khlong Toei,1450,Entire home/apt,332.0,1600.0,3447.5
Wang Thong Lang,1000,Private room,315.0,736.5,2992.0
Thon buri,500,Entire home/apt,348.0,1112.0,2203.0
Parthum Wan,4114,Entire home/apt,510.0,2000.0,5325.75
Bang Na,1500,Private room,330.0,1037.0,2550.0
Vadhana,3000,Entire home/apt,350.0,1800.0,4300.0
Vadhana,2200,Entire home/apt,350.0,1800.0,4300.0
Vadhana,2850,Entire home/apt,350.0,1800.0,4300.0
Phaya Thai,1540,Private room,399.0,1285.5,3459.125
Khlong San,5900,Private room,350.0,1156.5,3300.0
Ratchathewi,1571,Entire home/apt,500.0,1608.0,4112.5
Phaya Thai,650,Shared room,360.0,650.0,1025.0
Khlong Toei,1490,Entire home/apt,332.0,1600.0,3447.5
Huai Khwang,1490,Entire home/apt,443.0,1300.0,3000.0
Khlong San,1550,Entire home/apt,450.0,1305.0,2978.875
Sathon,720,Private room,353.0,1199.0,2602.5
Phaya Thai,380,Shared room,360.0,650.0,1025.0
Bang Na,999,Entire home/apt,350.0,950.0,2189.75
Phaya Thai,650,Shared room,360.0,650.0,1025.0
Chatu Chak,1500,Entire home/apt,350.0,1039.0,2856.25
Bang Na,600,Private room,330.0,1037.0,2550.0
Khlong Toei,1800,Entire home/apt,332.0,1600.0,3447.5
Ratchathewi,2000,Entire home/apt,500.0,1608.0,4112.5
Ratchathewi,1222,Entire home/apt,500.0,1608.0,4112.5
Parthum Wan,1590,Entire home/apt,510.0,2000.0,5325.75
Suanluang,650,Private room,354.0,950.0,2169.0
Don Mueang,750,Private room,346.0,800.0,1581.25
Phaya Thai,650,Shared room,360.0,650.0,1025.0
Huai Khwang,5000,Entire home/apt,443.0,1300.0,3000.0
Khlong Toei,1247,Entire home/apt,332.0,1600.0,3447.5
Sathon,720,Private room,353.0,1199.0,2602.5
Din Daeng,650,Entire home/apt,363.0,1269.0,3201.0
Khlong Toei,1943,Entire home/apt,332.0,1600.0,3447.5
Vadhana,1300,Entire home/apt,350.0,1800.0,4300.0
Phaya Thai,675,Shared room,360.0,650.0,1025.0
Bang Khae,600,Private room,350.0,895.0,2060.0
Khlong Toei,1500,Entire home/apt,332.0,1600.0,3447.5
Bang Kapi,482,Private room,350.0,950.0,3175.0
Khan Na Yao,488,Entire home/apt,356.0,850.0,2939.25
Sathon,400,Shared room,318.0,490.0,1305.0
Bang Na,497,Entire home/apt,350.0,950.0,2189.75
Phaya Thai,380,Shared room,360.0,650.0,1025.0
Phaya Thai,1250,Private room,399.0,1285.5,3459.125
Bang Sue,750,Entire home/apt,386.0,840.0,1721.75
Phaya Thai,1980,Private room,399.0,1285.5,3459.125
Ratchathewi,1050,Entire home/apt,500.0,1608.0,4112.5
Ratchathewi,1190,Entire home/apt,500.0,1608.0,4112.5
Khlong Toei,1608,Entire home/apt,332.0,1600.0,3447.5
Don Mueang,5357,Private room,346.0,800.0,1581.25
Ratchathewi,1557,Entire home/apt,500.0,1608.0,4112.5
Parthum Wan,3600,Entire home/apt,510.0,2000.0,5325.75
Bangkok Noi,1200,Private room,300.0,900.0,2301.375
Dusit,495,Private room,346.0,1300.0,2518.75
Rat Burana,825,Entire home/apt,525.0,1019.5,2773.125
Huai Khwang,1700,Private room,350.0,1108.0,3605.0
Khlong Toei,951,Entire home/apt,332.0,1600.0,3447.5
Bang Sue,1964,Private room,346.0,1000.0,2311.25
Ratchathewi,1090,Entire home/apt,500.0,1608.0,4112.5
Sathon,590,Entire home/apt,350.0,1350.0,3257.5
Khlong Toei,1500,Entire home/apt,332.0,1600.0,3447.5
Suanluang,350,Entire home/apt,350.0,1000.0,2558.25
Phra Khanong,550,Private room,350.0,1000.0,2845.0
Khlong Toei,396,Shared room,350.0,560.0,1762.5
Bang Sue,658,Entire home/apt,386.0,840.0,1721.75
Khlong Toei,5714,Entire home/apt,332.0,1600.0,3447.5
Suanluang,1900,Private room,354.0,950.0,2169.0
Huai Khwang,3500,Entire home/apt,443.0,1300.0,3000.0
Vadhana,1990,Entire home/apt,350.0,1800.0,4300.0
Ratchathewi,1599,Private room,420.0,1378.0,3204.625
Khlong Toei,2119,Entire home/apt,332.0,1600.0,3447.5
Din Daeng,450,Hotel room,350.0,998.0,2419.375
Bang Rak,650,Private room,360.0,1500.0,4286.0
Ratchathewi,1871,Private room,420.0,1378.0,3204.625
Khlong Toei,1371,Entire home/apt,332.0,1600.0,3447.5
Rat Burana,4000,Entire home/apt,525.0,1019.5,2773.125
Vadhana,1186,Entire home/apt,350.0,1800.0,4300.0
Sathon,1357,Entire home/apt,350.0,1350.0,3257.5
Vadhana,6000,Private room,350.0,1500.0,4015.0
Suanluang,1050,Entire home/apt,350.0,1000.0,2558.25
Huai Khwang,680,Private room,350.0,1108.0,3605.0
Huai Khwang,1700,Entire home/apt,443.0,1300.0,3000.0
Huai Khwang,680,Private room,350.0,1108.0,3605.0
Khlong Toei,5714,Entire home/apt,332.0,1600.0,3447.5
Din Daeng,1400,Private room,363.0,950.0,2700.0
Din Daeng,1690,Hotel room,350.0,998.0,2419.375
Ratchathewi,2500,Private room,420.0,1378.0,3204.625
Ratchathewi,2200,Private room,420.0,1378.0,3204.625
Yan na wa,600,Private room,418.0,1090.0,2357.0
Yan na wa,3428,Entire home/apt,400.0,1500.0,3942.625
Din Daeng,800,Entire home/apt,363.0,1269.0,3201.0
Ratchathewi,2071,Private room,420.0,1378.0,3204.625
Vadhana,2966,Entire home/apt,350.0,1800.0,4300.0
Suanluang,1500,Private room,354.0,950.0,2169.0
Sathon,773,Entire home/apt,350.0,1350.0,3257.5
Sathon,767,Entire home/apt,350.0,1350.0,3257.5
Ratchathewi,2950,Entire home/apt,500.0,1608.0,4112.5
Sathon,1500,Private room,353.0,1199.0,2602.5
Bang Rak,1000,Hotel room,350.0,1599.0,3921.5
Ratchathewi,2697,Entire home/apt,500.0,1608.0,4112.5
Parthum Wan,2606,Entire home/apt,510.0,2000.0,5325.75
Ratchathewi,3474,Entire home/apt,500.0,1608.0,4112.5
Ratchathewi,2423,Entire home/apt,500.0,1608.0,4112.5
Ratchathewi,1189,Entire home/apt,500.0,1608.0,4112.5
Ratchathewi,1189,Entire home/apt,500.0,1608.0,4112.5
Pra Wet,1800,Entire home/apt,407.0,1121.5,2586.0
Vadhana,1854,Entire home/apt,350.0,1800.0,4300.0
Sathon,400,Shared room,318.0,490.0,1305.0
Huai Khwang,650,Private room,350.0,1108.0,3605.0
Bang Sue,740,Entire home/apt,386.0,840.0,1721.75
Vadhana,1870,Entire home/apt,350.0,1800.0,4300.0
Vadhana,1854,Entire home/apt,350.0,1800.0,4300.0
Vadhana,1760,Entire home/apt,350.0,1800.0,4300.0
Sathon,1800,Entire home/apt,350.0,1350.0,3257.5
Sathon,1500,Private room,353.0,1199.0,2602.5
Khlong Toei,3117,Entire home/apt,332.0,1600.0,3447.5
Vadhana,1900,Entire home/apt,350.0,1800.0,4300.0
Sai Mai,400,Private room,335.0,570.0,1818.75
Huai Khwang,4500,Entire home/apt,443.0,1300.0,3000.0
Bang Kapi,2000,Entire home/apt,346.0,860.0,2487.5
Chatu Chak,1500,Private room,315.0,1100.0,2775.0
Huai Khwang,2100,Entire home/apt,443.0,1300.0,3000.0
Wang Thong Lang,2000,Entire home/apt,450.0,800.0,3616.5
Huai Khwang,680,Private room,350.0,1108.0,3605.0
Don Mueang,2200,Entire home/apt,450.0,1200.0,4101.625
Khlong San,1690,Entire home/apt,450.0,1305.0,2978.875
Bang Rak,1200,Private room,360.0,1500.0,4286.0
Rat Burana,2500,Entire home/apt,525.0,1019.5,2773.125
Bang Sue,700,Private room,346.0,1000.0,2311.25
Parthum Wan,2469,Entire home/apt,510.0,2000.0,5325.75
Vadhana,990,Private room,350.0,1500.0,4015.0
Sathon,1131,Private room,353.0,1199.0,2602.5
Bang Na,2500,Entire home/apt,350.0,950.0,2189.75
Khlong Toei,2379,Entire home/apt,332.0,1600.0,3447.5
Phaya Thai,1228,Private room,399.0,1285.5,3459.125
Wang Thong Lang,1200,Private room,315.0,736.5,2992.0
Khlong Toei,850,Private room,360.0,1275.0,3650.0
Sathon,400,Shared room,318.0,490.0,1305.0
Sathon,400,Shared room,318.0,490.0,1305.0
Ratchathewi,1657,Entire home/apt,500.0,1608.0,4112.5
Bang Na,1000,Entire home/apt,350.0,950.0,2189.75
Bang Na,1100,Entire home/apt,350.0,950.0,2189.75
Sathon,1200,Entire home/apt,350.0,1350.0,3257.5
Khlong Toei,1000,Entire home/apt,332.0,1600.0,3447.5
Huai Khwang,600,Private room,350.0,1108.0,3605.0
Ratchathewi,1200,Private room,420.0,1378.0,3204.625
Huai Khwang,1000,Entire home/apt,443.0,1300.0,3000.0
Khlong Toei,1500,Entire home/apt,332.0,1600.0,3447.5
Khlong Toei,700,Entire home/apt,332.0,1600.0,3447.5
Huai Khwang,2500,Private room,350.0,1108.0,3605.0
Min Buri,450,Private room,350.0,850.0,1640.75
Min Buri,1950,Entire home/apt,690.0,1350.0,3825.0
Vadhana,1500,Private room,350.0,1500.0,4015.0
Bang Khae,1000,Entire home/apt,350.0,870.0,8280.0
Sathon,3429,Entire home/apt,350.0,1350.0,3257.5
Bang Na,1500,Private room,330.0,1037.0,2550.0
Bang Na,1500,Private room,330.0,1037.0,2550.0
Parthum Wan,1750,Entire home/apt,510.0,2000.0,5325.75
Bang Kapi,1296,Entire home/apt,346.0,860.0,2487.5
Sathon,1200,Private room,353.0,1199.0,2602.5
Vadhana,3500,Entire home/apt,350.0,1800.0,4300.0
Ratchathewi,1383,Private room,420.0,1378.0,3204.625
Sathon,1200,Private room,353.0,1199.0,2602.5
Phra Khanong,550,Entire home/apt,337.0,999.0,2585.0
Sathon,1200,Private room,353.0,1199.0,2602.5
Phra Khanong,700,Private room,350.0,1000.0,2845.0
Bang Rak,1029,Entire home/apt,598.0,1874.0,6097.5
Vadhana,1200,Entire home/apt,350.0,1800.0,4300.0
Chatu Chak,1000,Private room,315.0,1100.0,2775.0
Don Mueang,800,Private room,346.0,800.0,1581.25
Bang Rak,1800,Private room,360.0,1500.0,4286.0
Don Mueang,800,Private room,346.0,800.0,1581.25
Bangkok Yai,1300,Entire home/apt,485.0,1421.0,4350.0
Phaya Thai,1414,Private room,399.0,1285.5,3459.125
Din Daeng,1371,Hotel room,350.0,998.0,2419.375
Khlong Toei,1919,Entire home/apt,332.0,1600.0,3447.5
Pra Wet,1250,Entire home/apt,407.0,1121.5,2586.0
Sathon,2721,Entire home/apt,350.0,1350.0,3257.5
Phra Khanong,1500,Shared room,305.0,400.0,2028.0
Yan na wa,2150,Entire home/apt,400.0,1500.0,3942.625
Bang Sue,741,Entire home/apt,386.0,840.0,1721.75
Din Daeng,1467,Entire home/apt,363.0,1269.0,3201.0
Bang Sue,751,Entire home/apt,386.0,840.0,1721.75
Khlong Toei,900,Entire home/apt,332.0,1600.0,3447.5
Phra Nakhon,550,Shared room,360.0,550.0,664.0
Phra Nakhon,550,Shared room,360.0,550.0,664.0
Khlong Toei,1933,Entire home/apt,332.0,1600.0,3447.5
Sathon,6000,Private room,353.0,1199.0,2602.5
Bang Kapi,2500,Entire home/apt,346.0,860.0,2487.5
Khlong Toei,2629,Entire home/apt,332.0,1600.0,3447.5
Yan na wa,1690,Entire home/apt,400.0,1500.0,3942.625
Khlong Toei,1933,Entire home/apt,332.0,1600.0,3447.5
Bang Rak,1000,Entire home/apt,598.0,1874.0,6097.5
Phra Nakhon,550,Shared room,360.0,550.0,664.0
Phra Nakhon,550,Shared room,360.0,550.0,664.0
Phra Nakhon,550,Shared room,360.0,550.0,664.0
Ratchathewi,3900,Private room,420.0,1378.0,3204.625
Bang Khen,871,Entire home/apt,400.0,884.0,2670.0
Phra Khanong,700,Entire home/apt,337.0,999.0,2585.0
Phra Nakhon,550,Shared room,360.0,550.0,664.0
Phra Nakhon,550,Shared room,360.0,550.0,664.0
Phra Nakhon,550,Shared room,360.0,550.0,664.0
Phra Nakhon,550,Shared room,360.0,550.0,664.0
Phra Nakhon,550,Shared room,360.0,550.0,664.0
Phra Nakhon,550,Shared room,360.0,550.0,664.0
Phra Nakhon,550,Shared room,360.0,550.0,664.0
Phra Nakhon,550,Shared room,360.0,550.0,664.0
Phra Nakhon,550,Shared room,360.0,550.0,664.0
Phra Nakhon,550,Shared room,360.0,550.0,664.0
Phra Nakhon,550,Shared room,360.0,550.0,664.0
Phra Nakhon,550,Shared room,360.0,550.0,664.0
Phra Nakhon,550,Shared room,360.0,550.0,664.0
Phra Nakhon,550,Shared room,360.0,550.0,664.0
Phra Nakhon,550,Shared room,360.0,550.0,664.0
Phra Nakhon,550,Shared room,360.0,550.0,664.0
Phra Nakhon,550,Shared room,360.0,550.0,664.0
Phra Nakhon,550,Shared room,360.0,550.0,664.0
Phra Nakhon,500,Shared room,360.0,550.0,664.0
Phra Nakhon,550,Shared room,360.0,550.0,664.0
Phra Nakhon,550,Shared room,360.0,550.0,664.0
Phra Nakhon,550,Shared room,360.0,550.0,664.0
Phra Nakhon,550,Shared room,360.0,550.0,664.0
Phra Nakhon,550,Shared room,360.0,550.0,664.0
Phra Nakhon,550,Shared room,360.0,550.0,664.0
Phra Nakhon,550,Shared room,360.0,550.0,664.0
Phra Nakhon,550,Shared room,360.0,550.0,664.0
Khlong Toei,3500,Entire home/apt,332.0,1600.0,3447.5
Lak Si,1700,Private room,350.0,800.0,1737.5
Ratchathewi,3100,Private room,420.0,1378.0,3204.625
Din Daeng,1243,Hotel room,350.0,998.0,2419.375
Din Daeng,886,Entire home/apt,363.0,1269.0,3201.0
Ratchathewi,3100,Private room,420.0,1378.0,3204.625
Din Daeng,900,Entire home/apt,363.0,1269.0,3201.0
Din Daeng,1186,Hotel room,350.0,998.0,2419.375
Chatu Chak,7250,Entire home/apt,350.0,1039.0,2856.25
Chatu Chak,542,Entire home/apt,350.0,1039.0,2856.25
Bang Kho laen,900,Hotel room,900.0,900.0,900.0
Vadhana,886,Hotel room,365.0,1600.0,5273.375
Khlong Toei,1700,Entire home/apt,332.0,1600.0,3447.5
Phra Khanong,1000,Private room,350.0,1000.0,2845.0
Khlong Toei,1500,Entire home/apt,332.0,1600.0,3447.5
Vadhana,1590,Entire home/apt,350.0,1800.0,4300.0
Khlong Toei,1107,Entire home/apt,332.0,1600.0,3447.5
Ratchathewi,2300,Hotel room,400.0,1474.0,3346.625
Ratchathewi,2349,Private room,420.0,1378.0,3204.625
Huai Khwang,2239,Entire home/apt,443.0,1300.0,3000.0
Huai Khwang,2310,Entire home/apt,443.0,1300.0,3000.0
Khlong Toei,1350,Entire home/apt,332.0,1600.0,3447.5
Bangkok Yai,950,Private room,350.0,999.0,3750.75
Vadhana,2414,Entire home/apt,350.0,1800.0,4300.0
Bang Phlat,990,Entire home/apt,400.0,884.0,2913.25
Ratchathewi,3938,Entire home/apt,500.0,1608.0,4112.5
Ratchathewi,3900,Private room,420.0,1378.0,3204.625
Phra Khanong,1760,Entire home/apt,337.0,999.0,2585.0
Chatu Chak,780,Entire home/apt,350.0,1039.0,2856.25
Bang Kho laen,1100,Entire home/apt,499.0,1039.0,3215.0
Ratchathewi,1183,Hotel room,400.0,1474.0,3346.625
Khlong Toei,5200,Entire home/apt,332.0,1600.0,3447.5
Ratchathewi,1250,Private room,420.0,1378.0,3204.625
Ratchathewi,1629,Entire home/apt,500.0,1608.0,4112.5
Khlong Toei,1489,Entire home/apt,332.0,1600.0,3447.5
Khlong Toei,1646,Entire home/apt,332.0,1600.0,3447.5
Thon buri,1200,Entire home/apt,348.0,1112.0,2203.0
Ratchathewi,2300,Private room,420.0,1378.0,3204.625
Chatu Chak,900,Private room,315.0,1100.0,2775.0
Vadhana,4000,Hotel room,365.0,1600.0,5273.375
Ratchathewi,2300,Private room,420.0,1378.0,3204.625
Huai Khwang,2147,Entire home/apt,443.0,1300.0,3000.0
Ratchathewi,957,Entire home/apt,500.0,1608.0,4112.5
Huai Khwang,5000,Entire home/apt,443.0,1300.0,3000.0
Don Mueang,350,Shared room,350.0,384.0,753.75
Lak Si,1770,Private room,350.0,800.0,1737.5
Pra Wet,1500,Entire home/apt,407.0,1121.5,2586.0
Wang Thong Lang,2000,Entire home/apt,450.0,800.0,3616.5
Don Mueang,1200,Private room,346.0,800.0,1581.25
Lak Si,1400,Private room,350.0,800.0,1737.5
Bang Kapi,1800,Private room,350.0,950.0,3175.0
Don Mueang,550,Private room,346.0,800.0,1581.25
Taling Chan,317,Private room,317.0,1350.0,3725.0
Ratchathewi,536,Entire home/apt,500.0,1608.0,4112.5
Vadhana,1430,Entire home/apt,350.0,1800.0,4300.0
Khlong Toei,2726,Entire home/apt,332.0,1600.0,3447.5
Saphan Sung,4500,Private room,350.0,750.0,1468.5
Bang Rak,3256,Entire home/apt,598.0,1874.0,6097.5
Ratchathewi,1485,Private room,420.0,1378.0,3204.625
Vadhana,750,Private room,350.0,1500.0,4015.0
Khlong Toei,2726,Entire home/apt,332.0,1600.0,3447.5
Khan Na Yao,1500,Private room,450.0,1149.5,3083.125
Khlong Toei,1621,Entire home/apt,332.0,1600.0,3447.5
Parthum Wan,3000,Entire home/apt,510.0,2000.0,5325.75
Ratchathewi,1800,Entire home/apt,500.0,1608.0,4112.5
Bangkok Noi,6000,Entire home/apt,350.0,825.0,2361.25
Pom Prap Sattru Phai,1400,Private room,550.0,1751.5,4300.5
Khlong Toei,1900,Entire home/apt,332.0,1600.0,3447.5
Suanluang,1800,Entire home/apt,350.0,1000.0,2558.25
Ratchathewi,1600,Private room,420.0,1378.0,3204.625
Vadhana,2100,Entire home/apt,350.0,1800.0,4300.0
Vadhana,2175,Entire home/apt,350.0,1800.0,4300.0
Vadhana,2250,Entire home/apt,350.0,1800.0,4300.0
Phra Khanong,686,Entire home/apt,337.0,999.0,2585.0
