neighbourhood,price,room_type,iqr_lower_bound,iqr_median_price,iqr_upper_bound
Bang Na,480,Entire home/apt,350.0,950.0,2189.75
Vadhana,2300,Entire home/apt,350.0,1800.0,4300.0
Huai Khwang,6906,Entire home/apt,443.0,1300.0,3000.0
Vadhana,800,Private room,350.0,1500.0,4015.0
Bang Na,480,Entire home/apt,350.0,950.0,2189.75
Bang Rak,1957,Private room,360.0,1500.0,4286.0
Huai Khwang,6807,Entire home/apt,443.0,1300.0,3000.0
Bang Sue,1455,Private room,346.0,1000.0,2311.25
Vadhana,2900,Entire home/apt,350.0,1800.0,4300.0
Huai Khwang,1080,Entire home/apt,443.0,1300.0,3000.0
Thon buri,850,Entire home/apt,348.0,1112.0,2203.0
Khlong San,600,Private room,350.0,1156.5,3300.0
Vadhana,2127,Entire home/apt,350.0,1800.0,4300.0
Ratchathewi,675,Entire home/apt,500.0,1608.0,4112.5
Din Daeng,700,Private room,363.0,950.0,2700.0
Yan na wa,700,Private room,418.0,1090.0,2357.0
Sathon,1200,Entire home/apt,350.0,1350.0,3257.5
Ratchathewi,1643,Entire home/apt,500.0,1608.0,4112.5
Khlong Toei,1483,Entire home/apt,332.0,1600.0,3447.5
Khlong Toei,1163,Entire home/apt,332.0,1600.0,3447.5
Bangkok Yai,3600,Private room,350.0,999.0,3750.75
Thon buri,750,Entire home/apt,348.0,1112.0,2203.0
Khlong Toei,1457,Entire home/apt,332.0,1600.0,3447.5
Phra Nakhon,2500,Private room,392.0,1250.0,3198.0
Suanluang,1558,Entire home/apt,350.0,1000.0,2558.25
Khlong Toei,1200,Entire home/apt,332.0,1600.0,3447.5
Rat Burana,2500,Entire home/apt,525.0,1019.5,2773.125
Khlong Sam Wa,1500,Entire home/apt,734.0,1450.0,4607.5
Bang Sue,1405,Private room,346.0,1000.0,2311.25
Parthum Wan,1212,Entire home/apt,510.0,2000.0,5325.75
Vadhana,4120,Entire home/apt,350.0,1800.0,4300.0
Vadhana,1600,Entire home/apt,350.0,1800.0,4300.0
Parthum Wan,2000,Entire home/apt,510.0,2000.0,5325.75
Don Mueang,1170,Private room,346.0,800.0,1581.25
Phra Khanong,600,Entire home/apt,337.0,999.0,2585.0
Huai Khwang,2200,Entire home/apt,443.0,1300.0,3000.0
Lat Krabang,450,Private room,346.0,849.0,2206.25
Bang Kapi,900,Private room,350.0,950.0,3175.0
Vadhana,3200,Entire home/apt,350.0,1800.0,4300.0
Khlong San,1262,Entire home/apt,450.0,1305.0,2978.875
Sathon,1100,Entire home/apt,350.0,1350.0,3257.5
Bang Sue,565,Private room,346.0,1000.0,2311.25
Bang Na,1690,Entire home/apt,350.0,950.0,2189.75
Huai Khwang,1464,Entire home/apt,443.0,1300.0,3000.0
Bang Kapi,6000,Entire home/apt,346.0,860.0,2487.5
Ratchathewi,770,Private room,420.0,1378.0,3204.625
Sathon,2250,Entire home/apt,350.0,1350.0,3257.5
Din Daeng,365,Private room,363.0,950.0,2700.0
Din Daeng,380,Private room,363.0,950.0,2700.0
Din Daeng,365,Private room,363.0,950.0,2700.0
Suanluang,1100,Entire home/apt,350.0,1000.0,2558.25
Phaya Thai,2171,Entire home/apt,374.0,1471.5,3298.625
Huai Khwang,1520,Entire home/apt,443.0,1300.0,3000.0
Parthum Wan,1212,Entire home/apt,510.0,2000.0,5325.75
Bang Rak,1039,Private room,360.0,1500.0,4286.0
Khlong Toei,2500,Entire home/apt,332.0,1600.0,3447.5
Thon buri,2500,Entire home/apt,348.0,1112.0,2203.0
Pra Wet,589,Entire home/apt,407.0,1121.5,2586.0
Sathon,1905,Entire home/apt,350.0,1350.0,3257.5
Ratchathewi,5229,Hotel room,400.0,1474.0,3346.625
Pra Wet,727,Entire home/apt,407.0,1121.5,2586.0
Khlong Toei,2450,Private room,360.0,1275.0,3650.0
Khlong Toei,3450,Private room,360.0,1275.0,3650.0
Chatu Chak,650,Private room,315.0,1100.0,2775.0
Bang Kapi,801,Entire home/apt,346.0,860.0,2487.5
Bang Kapi,549,Entire home/apt,346.0,860.0,2487.5
Khlong Toei,795,Entire home/apt,332.0,1600.0,3447.5
Bueng Kum,2500,Entire home/apt,350.0,1080.0,3875.0
Vadhana,1385,Private room,350.0,1500.0,4015.0
Chatu Chak,553,Entire home/apt,350.0,1039.0,2856.25
Thon buri,2000,Entire home/apt,348.0,1112.0,2203.0
Vadhana,2030,Entire home/apt,350.0,1800.0,4300.0
Parthum Wan,3177,Entire home/apt,510.0,2000.0,5325.75
Ratchathewi,320,Shared room,320.0,460.0,650.0
Ratchathewi,1200,Private room,420.0,1378.0,3204.625
Ratchathewi,750,Private room,420.0,1378.0,3204.625
Vadhana,1385,Entire home/apt,350.0,1800.0,4300.0
Sathon,1600,Entire home/apt,350.0,1350.0,3257.5
Thon buri,900,Entire home/apt,348.0,1112.0,2203.0
Thawi Watthana,1500,Entire home/apt,800.0,800.0,2550.0
Khlong Toei,1180,Private room,360.0,1275.0,3650.0
Parthum Wan,1222,Entire home/apt,510.0,2000.0,5325.75
Bang Rak,1068,Entire home/apt,598.0,1874.0,6097.5
Bang Rak,954,Entire home/apt,598.0,1874.0,6097.5
Parthum Wan,1500,Entire home/apt,510.0,2000.0,5325.75
Khlong Toei,2329,Hotel room,350.0,1771.0,3977.5
Khlong Toei,2329,Hotel room,350.0,1771.0,3977.5
Vadhana,1484,Entire home/apt,350.0,1800.0,4300.0
Vadhana,1281,Entire home/apt,350.0,1800.0,4300.0
Khlong Toei,2000,Entire home/apt,332.0,1600.0,3447.5
Bangkok Noi,450,Private room,300.0,900.0,2301.375
Khlong San,1590,Entire home/apt,450.0,1305.0,2978.875
Khlong San,1300,Entire home/apt,450.0,1305.0,2978.875
Chatu Chak,667,Private room,315.0,1100.0,2775.0
Phra Khanong,1039,Entire home/apt,337.0,999.0,2585.0
Phra Nakhon,750,Private room,392.0,1250.0,3198.0
Khlong Toei,658,Entire home/apt,332.0,1600.0,3447.5
Khlong Toei,1457,Entire home/apt,332.0,1600.0,3447.5
Phaya Thai,1800,Entire home/apt,374.0,1471.5,3298.625
Ratchathewi,1351,Entire home/apt,500.0,1608.0,4112.5
Chatu Chak,710,Private room,315.0,1100.0,2775.0
Yan na wa,935,Private room,418.0,1090.0,2357.0
Chatu Chak,1199,Entire home/apt,350.0,1039.0,2856.25
Chatu Chak,696,Private room,315.0,1100.0,2775.0
Pra Wet,780,Entire home/apt,407.0,1121.5,2586.0
Ratchathewi,5929,Hotel room,400.0,1474.0,3346.625
Bang Rak,1068,Entire home/apt,598.0,1874.0,6097.5
Bang Rak,954,Entire home/apt,598.0,1874.0,6097.5
Phra Nakhon,650,Shared room,360.0,550.0,664.0
Ratchathewi,5229,Hotel room,400.0,1474.0,3346.625
Bang Kho laen,930,Entire home/apt,499.0,1039.0,3215.0
Bang Kho laen,920,Entire home/apt,499.0,1039.0,3215.0
Phra Khanong,762,Entire home/apt,337.0,999.0,2585.0
Din Daeng,1929,Entire home/apt,363.0,1269.0,3201.0
Suanluang,1643,Entire home/apt,350.0,1000.0,2558.25
Bang Na,765,Entire home/apt,350.0,950.0,2189.75
Yan na wa,1100,Entire home/apt,400.0,1500.0,3942.625
Bang Kapi,519,Private room,350.0,950.0,3175.0
Suanluang,1200,Entire home/apt,350.0,1000.0,2558.25
Khlong Toei,700,Entire home/apt,332.0,1600.0,3447.5
Vadhana,743,Entire home/apt,350.0,1800.0,4300.0
Bang Sue,1300,Entire home/apt,386.0,840.0,1721.75
Vadhana,3318,Entire home/apt,350.0,1800.0,4300.0
Vadhana,550,Entire home/apt,350.0,1800.0,4300.0
Vadhana,550,Entire home/apt,350.0,1800.0,4300.0
Phra Nakhon,900,Private room,392.0,1250.0,3198.0
Phra Nakhon,900,Private room,392.0,1250.0,3198.0
Chatu Chak,680,Entire home/apt,350.0,1039.0,2856.25
Suanluang,2147,Entire home/apt,350.0,1000.0,2558.25
Ratchathewi,1672,Entire home/apt,500.0,1608.0,4112.5
Ratchathewi,600,Entire home/apt,500.0,1608.0,4112.5
Vadhana,7000,Private room,350.0,1500.0,4015.0
Pom Prap Sattru Phai,1300,Private room,550.0,1751.5,4300.5
Vadhana,1899,Private room,350.0,1500.0,4015.0
Bang Rak,780,Hotel room,350.0,1599.0,3921.5
Vadhana,1700,Entire home/apt,350.0,1800.0,4300.0
Vadhana,2600,Entire home/apt,350.0,1800.0,4300.0
Khlong San,2000,Entire home/apt,450.0,1305.0,2978.875
Phra Khanong,790,Entire home/apt,337.0,999.0,2585.0
Khlong Toei,700,Entire home/apt,332.0,1600.0,3447.5
Parthum Wan,1500,Private room,350.0,1800.0,4408.25
Bang Na,540,Entire home/apt,350.0,950.0,2189.75
Khlong Toei,1290,Private room,360.0,1275.0,3650.0
Bang Na,1039,Entire home/apt,350.0,950.0,2189.75
Vadhana,1000,Entire home/apt,350.0,1800.0,4300.0
Vadhana,1247,Entire home/apt,350.0,1800.0,4300.0
Din Daeng,960,Entire home/apt,363.0,1269.0,3201.0
Phra Nakhon,3000,Hotel room,318.0,985.0,4786.375
